beds,baths,size,size_units,lot_size,lot_size_units,zip_code,price,lat,lon
3,2.5,2590,sqft,6000.0,sqft,98144,795000,47.5846,-122.3005
4,2.0,2240,sqft,13503.6,sqft,98106,915000,47.5344,-122.3547
4,3.0,2040,sqft,3783.0,sqft,98107,950000,47.6701,-122.3763
4,3.0,3800,sqft,5175.0,sqft,98199,1950000,47.6488,-122.3964
2,2.0,1190,sqft,43560.0,sqft,98107,740000,47.6701,-122.3763
1,1.0,670,sqft,6000.0,sqft,98133,460000,47.7377,-122.3431
5,3.5,4510,sqft,6000.0,sqft,98105,3150000,47.6633,-122.3022
3,2.5,1520,sqft,741.0,sqft,98108,565000,47.5413,-122.3129
4,2.0,2340,sqft,9500.0,sqft,98178,699000,47.4924,-122.2359
3,2.0,1320,sqft,1386.0,sqft,98103,899000,47.6733,-122.3426
3,2.0,1800,sqft,3993.0,sqft,98177,1050000,22.7912,-102.632
3,2.5,2490,sqft,5757.0,sqft,98103,935625,47.6733,-122.3426
4,3.0,2650,sqft,6380.0,sqft,98115,1511000,47.6849,-122.2968
5,1.5,2560,sqft,5200.0,sqft,98199,1330000,47.6488,-122.3964
3,2.5,2974,sqft,3840.0,sqft,98119,1750000,47.6379,-122.3643
4,3.5,1989,sqft,1607.0,sqft,98117,980000,47.6873,-122.3772
2,2.0,1332,sqft,1101.0,sqft,98199,845000,47.6488,-122.3964
4,3.0,2668,sqft,5589.0,sqft,98116,1213000,47.5746,-122.3934
2,1.0,770,sqft,5250.0,sqft,98133,530000,47.7377,-122.3431
3,1.5,1280,sqft,9100.0,sqft,98146,625000,47.4995,-122.3603
5,3.5,3200,sqft,9260.0,sqft,98133,1275000,47.7377,-122.3431
2,1.5,889,sqft,10018.800000000001,sqft,98103,680000,47.6733,-122.3426
3,2.0,3140,sqft,5000.0,sqft,98117,1219700,47.6873,-122.3772
4,2.0,2000,sqft,8077.0,sqft,98125,907200,47.717,-122.3015
3,2.5,1690,sqft,1733.0,sqft,98108,760000,47.5413,-122.3129
4,5.5,3000,sqft,5520.0,sqft,98126,1484000,47.5444,-122.3735
3,3.0,1550,sqft,1400.0,sqft,98115,950000,47.6849,-122.2968
2,2.0,871,sqft,12632.4,sqft,98119,430000,47.6379,-122.3643
4,1.5,1940,sqft,8778.0,sqft,98118,520000,47.5412,-122.275
3,2.0,1770,sqft,3349.0,sqft,98146,805000,47.4995,-122.3603
5,5.0,2510,sqft,11761.2,sqft,98133,1000000,47.7377,-122.3431
3,2.5,1500,sqft,1056.0,sqft,98103,1070000,47.6733,-122.3426
5,4.0,2920,sqft,6323.0,sqft,98133,948000,47.7377,-122.3431
3,2.0,2817,sqft,6375.0,sqft,98103,912000,47.6733,-122.3426
1,1.0,617,sqft,21344.399999999998,sqft,98109,480000,47.6339,-122.3476
2,2.0,1280,sqft,3000.0,sqft,98112,776000,47.6301,-122.2972
2,1.0,1240,sqft,5038.0,sqft,98126,750000,47.5444,-122.3735
4,2.5,2280,sqft,3932.0,sqft,98106,1065000,47.5344,-122.3547
5,3.5,3590,sqft,15681.599999999999,sqft,98136,2350000,47.5398,-122.3878
4,3.5,2478,sqft,2761.0,sqft,98115,1580000,47.6849,-122.2968
3,3.0,2360,sqft,6600.0,sqft,98117,1775000,47.6873,-122.3772
2,1.0,720,sqft,7500.0,sqft,98177,600000,22.7912,-102.632
3,2.0,2480,sqft,5829.0,sqft,98126,800000,47.5444,-122.3735
3,2.0,1550,sqft,6720.0,sqft,98199,1100000,47.6488,-122.3964
2,1.0,780,sqft,3060.0,sqft,98103,750000,47.6733,-122.3426
5,3.0,2820,sqft,6250.0,sqft,98136,865000,47.5398,-122.3878
5,3.0,2900,sqft,3600.0,sqft,98112,1450000,47.6301,-122.2972
2,2.0,1092,sqft,5500.0,sqft,98122,829000,47.6116,-122.3056
3,2.0,1731,sqft,7514.0,sqft,98125,575000,47.717,-122.3015
3,2.5,1500,sqft,8240.0,sqft,98105,860000,47.6633,-122.3022
2,2.5,1344,sqft,1110.0,sqft,98122,770000,47.6116,-122.3056
