beds,baths,size,size_units,lot_size,lot_size_units,zip_code,price,lat,lon
3,2.5,2590,sqft,6000,sqft,98144,795000,47.5846,-122.3005
4,2,2240,sqft,0.31,acre,98106,915000,47.5344,-122.3547
4,3,2040,sqft,3783,sqft,98107,950000,47.6701,-122.3763
4,3,3800,sqft,5175,sqft,98199,1950000,47.6488,-122.3964
2,2,1042,sqft,,,98102,950000,47.6302,-122.321
2,2,1190,sqft,1,acre,98107,740000,47.6701,-122.3763
1,1,670,sqft,6000,sqft,98133,460000,47.7377,-122.3431
5,3.5,4510,sqft,6000,sqft,98105,3150000,47.6633,-122.3022
3,2.5,1520,sqft,741,sqft,98108,565000,47.5413,-122.3129
4,2,2340,sqft,9500,sqft,98178,699000,47.4924,-122.2359
3,2,1320,sqft,1386,sqft,98103,899000,47.6733,-122.3426
3,2,1800,sqft,3993,sqft,98177,1050000,22.7912,-102.632
3,2.5,2490,sqft,5757,sqft,98103,935625,47.6733,-122.3426
4,3,2650,sqft,6380,sqft,98115,1511000,47.6849,-122.2968
5,1.5,2560,sqft,5200,sqft,98199,1330000,47.6488,-122.3964
2,1.5,900,sqft,,,98133,549755,47.7377,-122.3431
3,3.5,1360,sqft,,,98103,700000,47.6733,-122.3426
1,1,550,sqft,,,98122,330000,47.6116,-122.3056
3,2.5,2974,sqft,3840,sqft,98119,1750000,47.6379,-122.3643
4,3.5,1989,sqft,1607,sqft,98117,980000,47.6873,-122.3772
2,2,1332,sqft,1101,sqft,98199,845000,47.6488,-122.3964
4,3,2668,sqft,5589,sqft,98116,1213000,47.5746,-122.3934
2,1,770,sqft,5250,sqft,98133,530000,47.7377,-122.3431
3,1.5,1280,sqft,9100,sqft,98146,625000,47.4995,-122.3603
5,3.5,3200,sqft,9260,sqft,98133,1275000,47.7377,-122.3431
2,1.5,889,sqft,0.23,acre,98103,680000,47.6733,-122.3426
1,1,508,sqft,,,98109,325000,47.6339,-122.3476
3,2,3140,sqft,5000,sqft,98117,1219700,47.6873,-122.3772
4,2,2000,sqft,8077,sqft,98125,907200,47.717,-122.3015
1,1,792,sqft,,,98101,517000,47.6114,-122.3305
3,2.5,1690,sqft,1733,sqft,98108,760000,47.5413,-122.3129
4,5.5,3000,sqft,5520,sqft,98126,1484000,47.5444,-122.3735
3,3,1550,sqft,1400,sqft,98115,950000,47.6849,-122.2968
2,2,871,sqft,0.29,acre,98119,430000,47.6379,-122.3643
4,1.5,1940,sqft,8778,sqft,98118,520000,47.5412,-122.275
1,1,474,sqft,,,98101,335000,47.6114,-122.3305
3,2,1770,sqft,3349,sqft,98146,805000,47.4995,-122.3603
5,5,2510,sqft,0.27,acre,98133,1000000,47.7377,-122.3431
1,1,750,sqft,,,98199,375000,47.6488,-122.3964
1,1,573,sqft,,,98102,390000,47.6302,-122.321
3,2.5,1500,sqft,1056,sqft,98103,1070000,47.6733,-122.3426
