beds,baths,size,size_units,lot_size,lot_size_units,zip_code,latitudes,longitudes,price
2,3.0,1824.0,sqft,0.37,acre,98101,47.6114,-122.3305,2458000.0
1,1.0,616.0,sqft,0.35,acre,98101,47.6114,-122.3305,399900.0
1,1.0,627.0,sqft,0.34,acre,98101,47.6114,-122.3305,335000.0
2,1.5,1127.0,sqft,5500.0,sqft,98102,47.6302,-122.321,1008000.0
2,2.0,1817.0,sqft,1156.0,sqft,98102,47.6302,-122.321,2100000.0
3,2.5,1740.0,sqft,1389.0,sqft,98102,47.6302,-122.321,1678000.0
1,1.0,434.0,sqft,6600.0,sqft,98102,47.6302,-122.321,345000.0
1,1.0,557.0,sqft,0.88,acre,98102,47.6302,-122.321,399950.0
3,2.5,1700.0,sqft,2125.0,sqft,98102,47.6302,-122.321,1475000.0
3,2.5,1515.0,sqft,1563.0,sqft,98102,47.6302,-122.321,905000.0
2,1.5,2680.0,sqft,6000.0,sqft,98102,47.6302,-122.321,1125000.0
4,3.5,2852.0,sqft,3178.0,sqft,98102,47.6302,-122.321,1715000.0
2,1.0,691.0,sqft,1.0,acre,98102,47.6302,-122.321,998000.0
4,2.5,3190.0,sqft,5500.0,sqft,98102,47.6302,-122.321,1820000.0
2,2.0,1040.0,sqft,0.29,acre,98102,47.6302,-122.321,685000.0
2,3.0,970.0,sqft,593.0,sqft,98102,47.6302,-122.321,769900.0
4,3.5,2720.0,sqft,3024.0,sqft,98102,47.6302,-122.321,1750000.0
5,3.5,5090.0,sqft,0.27,acre,98102,47.6302,-122.321,4325000.0
2,2.0,2470.0,sqft,4800.0,sqft,98102,47.6302,-122.321,1525000.0
1,1.0,647.0,sqft,7197.0,sqft,98102,47.6302,-122.321,377500.0
2,2.0,900.0,sqft,2041.0,sqft,98102,47.6302,-122.321,1650000.0
3,3.5,1762.0,sqft,1494.0,sqft,98102,47.6302,-122.321,1000000.0
2,5.5,2659.0,sqft,0.52,acre,98102,47.6302,-122.321,6250000.0
4,3.0,2970.0,sqft,4000.0,sqft,98102,47.6302,-122.321,1950000.0
3,3.5,2530.0,sqft,1880.0,sqft,98102,47.6302,-122.321,1299000.0
1,1.0,580.0,sqft,4657.0,sqft,98102,47.6302,-122.321,395000.0
2,1.5,1020.0,sqft,1249.0,sqft,98102,47.6302,-122.321,765000.0
4,3.5,3930.0,sqft,4000.0,sqft,98102,47.6302,-122.321,2925000.0
5,3.5,3310.0,sqft,2943.0,sqft,98102,47.6302,-122.321,1637500.0
1,1.5,1425.0,sqft,2.23,acre,98102,47.6302,-122.321,2200000.0
6,3.5,8660.0,sqft,0.28,acre,98102,47.6302,-122.321,4100000.0
4,3.5,3050.0,sqft,6146.0,sqft,98102,47.6302,-122.321,2250000.0
2,2.5,1400.0,sqft,824.0,sqft,98102,47.6302,-122.321,1062500.0
1,1.0,1113.0,sqft,9830.0,sqft,98102,47.6302,-122.321,595000.0
3,3.5,1510.0,sqft,1239.0,sqft,98103,47.6733,-122.3426,660000.0
2,2.5,1459.0,sqft,887.0,sqft,98103,47.6733,-122.3426,665000.0
3,1.0,1730.0,sqft,4200.0,sqft,98103,47.6733,-122.3426,900000.0
4,3.5,2191.0,sqft,4120.0,sqft,98103,47.6733,-122.3426,1394600.0
4,3.0,2949.0,sqft,5580.0,sqft,98103,47.6733,-122.3426,1610000.0
2,1.0,1770.0,sqft,4800.0,sqft,98103,47.6733,-122.3426,926000.0
3,2.0,1565.0,sqft,2500.0,sqft,98103,47.6733,-122.3426,985000.0
3,2.5,1570.0,sqft,1362.0,sqft,98103,47.6733,-122.3426,901000.0
3,3.5,1500.0,sqft,1182.0,sqft,98103,47.6733,-122.3426,700000.0
2,2.0,1570.0,sqft,3060.0,sqft,98103,47.6733,-122.3426,849000.0
3,2.0,1758.0,sqft,1350.0,sqft,98103,47.6733,-122.3426,1130000.0
3,2.0,2817.0,sqft,6375.0,sqft,98103,47.6733,-122.3426,912000.0
3,2.0,2702.0,sqft,6600.0,sqft,98103,47.6733,-122.3426,1605000.0
2,2.0,1140.0,sqft,1045.0,sqft,98103,47.6733,-122.3426,850000.0
2,2.0,1110.0,sqft,1650.0,sqft,98103,47.6733,-122.3426,689000.0
3,2.0,1270.0,sqft,1333.0,sqft,98103,47.6733,-122.3426,727000.0
2,1.5,1276.0,sqft,0.54,acre,98103,47.6733,-122.3426,885000.0
4,3.5,1835.0,sqft,1884.0,sqft,98103,47.6733,-122.3426,1299950.0
3,2.0,1960.0,sqft,3300.0,sqft,98103,47.6733,-122.3426,865000.0
1,2.5,2220.0,sqft,2519.0,sqft,98103,47.6733,-122.3426,1200000.0
3,2.0,1719.0,sqft,1056.0,sqft,98103,47.6733,-122.3426,1160000.0
3,2.0,1210.0,sqft,1374.0,sqft,98103,47.6733,-122.3426,875000.0
4,2.5,1420.0,sqft,1800.0,sqft,98103,47.6733,-122.3426,760000.0
3,2.5,1970.0,sqft,2109.0,sqft,98103,47.6733,-122.3426,715000.0
